"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_Armband_BrenovyHavrani_Description","Black shoulder tape. Who are Bren's Ravens? I'm in fear!","Black shoulder tape. Who are Bren's Ravens? I'm in fear!","Páska přes rameno. Kdo jsou Brenovy Havrani? Mám strach!","","","","","","","","","","","",
"STR_Armband_VlasteneckaUnie","Shoulder Tape (Vlastenecká Unie)","Shoulder Tape (Vlastenecká Unie)","Páska přes rameno (Vlastenecká Unie)","","","","","","","","","","","",
"STR_Armband_VlasteneckaUnie_Description","Tape over the shoulder of the Chernarussian Patriotic Union. Glory to the New Republic!","Tape over the shoulder of the Chernarussian Patriotic Union. Glory to the New Republic!","Páska přes rameno Vlastenecké Unie. Sláva Nové Republice!","","","","","","","","","","","",
"STR_Armband_Milice","Shoulder Tape (Militia)","Shoulder Tape (Militia)","Páska přes rameno (Milice)","","","","","","","","","","","",
"STR_Armband_Milice_Description","Tape over the shoulder of the Novy Sobor Militia. Bow to your knees!","Tape over the shoulder of the Novy Sobor Militia. Bow to your knees!","Páska přes rameno Novosoborské Milice. Klaňte se ke kolenou!","","","","","","","","","","","",
"STR_Armband_Duchari","Shoulder Tape (Ordo Spiritus)","Shoulder Tape (Ordo Spiritus)","Páska přes rameno (Duchaři)","","","","","","","","","","","",
"STR_Armband_Duchari_Description","You know, I am kind of a priest myself ...","You know, I am kind of a priest myself ...","Víte, taky jsem tak trochu kněz ...","","","","","","","","","","","",
"STR_Armband_Grishino","Shoulder Tape (Grishino)","Shoulder Tape (Grishino)","Páska přes rameno (Grišino)","","","","","","","","","","","",
"STR_Armband_Grishino_Description","Grishino's Shoulder Tape","Grishino's Shoulder Tape","Páska přes rameno osady Grišina","","","","","","","","","","","",
"STR_Armband_KamenkaCoalition","Shoulder Tape (Kamenka Coalition)","Shoulder Tape (Kamenka Coalition)","Páska přes rameno (Koalice Kamenka)","","","","","","","","","","","",
"STR_Armband_KamenkaCoalition_Description","Kamenka Coalition's Shoulder Tape","Kamenka Coalition's Shoulder Tape","Páska přes rameno koaličního spolku na území Kamenky a okolí.","","","","","","","","","","","",
"STR_Armband_BlackSkull","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Páska přes rameno (Lebka)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)","Shoulder Tape (Skull)",
"STR_Armband_BlackSkull_Description","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","Jde z té pásky strach, co víc k tomu dodat ...","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.","This shoulder tape speaks for itself.",
