Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_RPL_B95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,Blaze 95,
STR_RPL_B95_D_Green,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Green coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,
STR_RPL_B95_D_Black,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,Black coloured double barrelled hunting rifle. It is equipped with a single lock action. The rifle is uncocked after every shot. The notches that hold the mounting base are positioned directly above the chambers. The barrels float freely while the point of impact remains constant.,
STR_RPL_B95_D,"Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.","Double-barreled break-action rifle. Unusual in its design, it can use both .308 WIN rounds and 12ga bucks and slugs.",
STR_RPL_CZ61,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 Škorpion,vz. 64 スコーピオン,vz. 64 Škorpion,vz. 64 Škorpion,
STR_RPL_CZ61_D,"Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.",Kompaktní samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Často je ve výbavě jako záložní zbraň a používá munici .380 ACP,Kompakte Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Wird oft als Zweitwaffe geführt. Nutzt .380 ACP-Munition.,Компактный пистолет-пулемет с переводчиком режимов огня и съемным магазином. Часто используется как пистолет. Использует патроны калибра .380 ACP.,Kompaktowy pistolet maszynowy z przełącznikiem ognia i magazynkiem zewnętrznym. Często używany jako broń zapasowa. Strzela amunicją .380 ACP.,"Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.",Mitra compatto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Utilizzato spesso come arma da fianco. Utilizza munizioni calibro .380 ACP.,"Metralleta de fuego selectivo compacta, alimentada por un cargador desmontable. Se suele utilizar como arma secundaria. Usa proyectiles de .380 ACP.",Un pistolet mitrailleur compact avec différents modes de tir accueillant un chargeur amovible de calibre .380 ACP. Sert souvent d'arme secondaire.,可選射擊模式的精簡機關槍，以可拆卸的彈匣供彈。常被當作配槍使用。使用 .380 ACP 子彈。,取り外し可能なマガジンから装填する、コンパクトなセレクティブファイア機能の短機関銃。頻繁にサイドアームとして使用される。.380 ACP 弾薬を使う。,"Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.",从可拆卸弹匣送弹的小型选射冲锋枪。通常用作随身武器。使用 .380 ACP 子弹。,
STR_RPL_CZ527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,CZ-527,
STR_RPL_CZ527_D_Green,"The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted green.",
STR_RPL_CZ527_D_Camo,"The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted camo.",
STR_RPL_CZ527_D_Black,"The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.","The CR527 carbine is a bolt-action, magazine-fed, light weight, intermediate range ‘brush gun'. This one has been spraypainted black.",
STR_RPL_CZ527_D,"A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.","Opakovací lovecká puška, munice dodávána odnímatelným zásobníkem. Je lehká a na střední vzdálenost přesná. Používá munici 7,62x39 mm.",Ein Repetier-Jagdgewehr mit abnehmbarem Magazin. Leicht und präzise auf mittelgroße Reichweite. Nutzt 7.62x39mm-Munition.,"Охотничье ружье со скользящим затвором и съемным магазином. Легкое и точное оружие при стрельбе на средние дистанции. Использует патроны калибра 7,62x39 мм.","Samopowtarzalny karabin z magazynkiem zewnętrznym. Lekki i celny na średnich dystansach. Strzela amunicją 7,62x39 mm.","A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.",Fucile da caccia a otturatore girevole-scorrevole con alimentazione mediante un caricatore estraibile. È leggero e preciso a medio raggio. Utilizza munizioni calibro 7.62x39 mm.,"Un fusil de caza con recarga de cerrojo, que se alimenta de un cargador desmontable. Es ligero y preciso a media distancia. Usa proyectiles de 7,62x39 mm.","Un fusil de chasse à verrou de calibre 7,62x39 mm avec chargeur détachable. Léger et précis à une distance intermédiaire.",栓動狩獵步槍，以可拆卸的彈匣供彈。造型輕巧，在中距離時非常準確。使用 7.62x39mm 子彈。,取り外し可能なマガジンから装填する、ボルトアクション式狩猟用ライフル。軽量で中距離でも正確に撃ち抜ける。7.62x39mm 弾薬を使う。,"A bolt-action hunting rifle, fed from a detachable magazine. It is light and accurate at intermediate ranges. Uses 7.62x39mm rounds.",一种栓式猎枪，从可拆卸弹匣送弹。它轻便、精确，中等射程。使用 7.62x39mm 子弹。,
