"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_RPL_SaltBag,"Bag of Salt","Bag of Salt","Kuchyňská sůl","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt","Bag of Salt",
STR_RPL_SaltBag_D,"Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Dobře zachovalá kuchyňská sůl v papírovém obalu. Asi by nebylo překvapením, že obsahuje slanou věcičku jménem Sůl.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.","Well-looking paper bag of salt. It wouldn't be surprise it contains salty ingredient called Salt.",
STR_RPL_FlourBag_Mirovec,"Flour","Flour","Pšeničná mouka","Flour","Flour","Flour","Flour","Flour","Flour","Flour","Flour","Flour","Flour","Flour",
STR_RPL_FlourBag_Mirovec_D,"Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Úžasně vypadající balík mouky. Nebylo by překvapením, že je jeho obsahem pšeničná mouka. Tahle je označená jako Mírovcova volba, asi gurmánská kvalita, mládežníci","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.","Well-looking paper bag with flour. It wouldn't be surprise it contains salty ingredient called Flour.",
STR_RPL_Sugar,"Sugar","Sugar","Krystalový cukr","Sugar","Sugar","Sugar","Sugar","Sugar","Sugar","Sugar","Sugar","Sugar","Sugar","Sugar",
STR_RPL_Sugar_D,"A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","Sáček se 180 gramy bílého krystalového cukru. Lze jej využít jako sladidlo, nebo klíčovou složku podporující proces kvasení.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.","A sack with 180 grams of white crystallic sugar. Can be used as a sweetener or as a key ingredient in fermentation process.",
STR_RPL_PaperStrip,"Paper Strip","Paper Strip","Proužek papíru","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip","Paper Strip",
STR_RPL_PaperStrip_D,"An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","Obyčejný kus papíru, který se dá využít mnoha způsoby.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.","An ordinary strip from a paper. It can be useful for various purposes.",
STR_RPL_ImprovisedCan,"Improvised Can","Improvised Can","Improvizovaná plechovka","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can","Improvised Can",
STR_RPL_ImprovisedCan_D,"Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvizovaná plechovka s přilepeným kusem papíru. Co takhle do ní uložit nějaké jídlo, aby vydrželo na horší časy?","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.","Improvised can with paper banner. Can be filled with various things you want to preserve.",
STR_RPL_ImprovisedCan_Apples,"Canned Apples","Canned Apples","Plechovka s jablky","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples",
STR_RPL_ImprovisedCan_Apples_D,"A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","Plechovka s čerstvými, sbíranými jablky ve sladkém moštu. Plechovka je udrží lahodnými na dlouhé časy, zůstane-li uzavřená.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered apples in sweet juice. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Pears,"Canned Pears","Canned Pears","Plechovka s hruškami","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears",
STR_RPL_ImprovisedCan_Pears_D,"A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","Plechovka s hruškami ve sladkém nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered pears in sweet juice. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Plums,"Canned Plums","Canned Plums","Plechovka se švestkami","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums",
STR_RPL_ImprovisedCan_Plums_D,"A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","Plechovka se švestkami ve sladkém nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered plums in sweet juice. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Zucchinis,"Canned Zucchinis","Canned Zucchinis","Plechovka s cuketami","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis","Canned Zucchinis",
STR_RPL_ImprovisedCan_Zucchinis_D,"A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","Plechovka s kousky cuket ve slaném nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.","A can full of zucchinis in water. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Tomatoes,"Canned Tomatoes","Canned Tomatoes","Plechovka s rajčaty","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes","Canned Tomatoes",
STR_RPL_ImprovisedCan_Tomatoes_D,"A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","Plechovka s rozmačkanými rajčaty ve slaném nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of tomatoes in salty water. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Potatoes,"Canned Potatoes","Canned Potatoes","Plechovka s bramborami","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes","Canned Potatoes",
STR_RPL_ImprovisedCan_Potatoes_D,"A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","Plechovka s bramborami ve slaném nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.","A can full of potatoes in water. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Peppers,"Canned Peppers","Canned Peppers","Plechovka s paprikami","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers","Canned Peppers",
STR_RPL_ImprovisedCan_Peppers_D,"A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","Plechovka s paprikami ve slaném nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered peppers in water. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Mushrooms,"Canned Mushrooms","Canned Mushrooms","Plechovka s paprikami","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms",
STR_RPL_ImprovisedCan_Mushrooms_D,"A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","Plechovka s paprikami ve slaném nálevu. Plechovka je uchová čerstvé po dlouhou dobu.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh, gathered mushrooms in salty water. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Meat,"Canned Meat","Canned Meat","Plechovka s masem","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat","Canned Meat",
STR_RPL_ImprovisedCan_Meat_D,"Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Plechovka s masem, která nejenže voní strašně lahodně, ale také vydrží věky!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!","Can with some meat. Surely tastes delicious and lasts for looong times!",
STR_RPL_ImprovisedCan_HumanMeat,"Canned Human Meat","Canned Human Meat","Plechovka s lidským masem","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat","Canned Human Meat",
STR_RPL_ImprovisedCan_HumanMeat_D,"A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","Plechovka s lidským masem - čistě gurmánská záležitost.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.","A can of human meat. This is some serious gourmet shit.",
STR_RPL_ImprovisedCan_Liquor,"Liquor Can","Liquor Can","Lihovina","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can","Liquor Can",
STR_RPL_ImprovisedCan_Liquor_D,"Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Plechovka s obsahem nepříjemně zapáchající, zkvašené alkoholické tekutiny s kusy kvašeného ovoce. Možná by potřebovala trochu vylepšit a mohla by z ní být skvělá pálenka!","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.","Can containing a fermented alcoholic goop with pieces of fruit. Probably needs some refining and could be turned into a good spirit.",
STR_RPL_ImprovisedCan_Shit,"Can of Feces","Can of Feces","Plechovka s výkalem","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces","Can of Feces",
STR_RPL_ImprovisedCan_Shit_D,"Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Plechovka s výkalem? Patří člověku, patří medvědovi? Kdo ví, radši to nebudeme zjišťovat.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.","Can of Feces? Is it human, whose is it? I'd prefer not to find out.",
STR_RPL_AppleStack,"Stack of Apples","Stack of Apples","Hromada jablek","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples","Stack of Apples",
